loglik,beta0,alpha_i0_1,alpha_i0_2,acceptance_beta0,acceptance_alpha_i0_1,acceptance_alpha_i0_2
-589.262,1.14771,3.97641e-05,0.000218213,0.216848,0.235346,0.234221
-588.326,1.1473,4.02241e-05,0.000223274,0.217134,0.235156,0.233675
-590.849,1.1444,4.27672e-05,0.000242773,0.217047,0.235337,0.233996
-588.03,1.14556,4.14953e-05,0.000232033,0.216359,0.235152,0.234671
-590.68,1.14326,4.11078e-05,0.000224745,0.216522,0.23521,0.233425
-591.533,1.14983,3.89906e-05,0.000221036,0.21621,0.235737,0.233502
-591.53,1.14152,4.31994e-05,0.000245166,0.21544,0.235787,0.233694
-588.239,1.14352,4.25281e-05,0.000236996,0.215263,0.23526,0.234226
-588.205,1.14443,4.13082e-05,0.000227334,0.215316,0.235201,0.234519
-588.061,1.14365,4.22061e-05,0.000235064,0.214807,0.235254,0.234805
-589.358,1.14763,3.99758e-05,0.000218231,0.215421,0.235863,0.235085
-589.164,1.14917,3.98846e-05,0.000222266,0.215251,0.236897,0.235249
-589.24,1.14493,4.20094e-05,0.000237438,0.215411,0.237039,0.235409
-588.497,1.1438,4.15016e-05,0.000229925,0.214923,0.237071,0.235351
-592.44,1.14736,4.13717e-05,0.000237509,0.215296,0.237209,0.235188
-589.247,1.14581,4.07445e-05,0.000221245,0.215556,0.237238,0.234291
-589.151,1.14789,4.02957e-05,0.000220422,0.215707,0.237163,0.234455
-588.849,1.14726,4.03093e-05,0.00022648,0.215854,0.235852,0.233996
-592.744,1.14863,3.85513e-05,0.00021278,0.21559,0.235792,0.234364
-588.07,1.14551,4.09987e-05,0.000228326,0.215635,0.236037,0.23432
-589.76,1.14818,4.07076e-05,0.000223449,0.215178,0.235176,0.233777
-588.599,1.14595,4.0921e-05,0.000223212,0.215523,0.234432,0.234333
-588.242,1.14679,4.04988e-05,0.000222839,0.215175,0.233703,0.234095
-589.054,1.14471,4.10188e-05,0.000229335,0.214931,0.23357,0.234055
-594.087,1.14278,4.43349e-05,0.000243061,0.21546,0.233247,0.234304
-587.889,1.1446,4.16962e-05,0.000229078,0.215979,0.233406,0.234549
-589.48,1.14424,4.13292e-05,0.000223901,0.216772,0.233186,0.23394
-590.204,1.14929,3.93557e-05,0.000221851,0.217083,0.23353,0.23409
-589.216,1.1455,4.20136e-05,0.000230082,0.216554,0.232941,0.234608
-588.986,1.14263,4.28667e-05,0.00023368,0.216861,0.232731,0.2353
-590.256,1.14126,4.41385e-05,0.000243972,0.217435,0.232888,0.234888
-591.553,1.1429,4.24963e-05,0.00022741,0.216917,0.233042,0.234754
-588.475,1.14565,4.10419e-05,0.000230326,0.216499,0.232569,0.2348
-588.334,1.14758,4.03453e-05,0.000225047,0.216883,0.23228,0.235731
-588.069,1.14503,4.12489e-05,0.000229904,0.216648,0.231909,0.234804
-588.242,1.14382,4.25557e-05,0.000236402,0.216242,0.231806,0.234588
-588.902,1.14264,4.23584e-05,0.000236731,0.216705,0.231446,0.235066
-588.191,1.14289,4.26753e-05,0.000235285,0.217246,0.231604,0.234681
-588.11,1.14537,4.17163e-05,0.000229493,0.2171,0.231082,0.23498
-588.444,1.14516,4.12532e-05,0.000225059,0.216368,0.231409,0.234938
-588.424,1.14424,4.19202e-05,0.000235158,0.215982,0.230814,0.23473
-588.276,1.14604,4.16004e-05,0.000232012,0.215271,0.230725,0.234609
-588.641,1.14185,4.30866e-05,0.000238247,0.215966,0.230637,0.234489
-588.792,1.1466,4.15061e-05,0.000229352,0.21608,0.231282,0.234696
-588.405,1.14684,4.05801e-05,0.000222535,0.216273,0.231594,0.234578
-588.124,1.14687,4.07414e-05,0.000227529,0.215743,0.231581,0.234461
-589.637,1.14258,4.26394e-05,0.000240247,0.215856,0.231569,0.233712
-587.797,1.14484,4.13954e-05,0.00022907,0.216046,0.23132,0.23384
-590.613,1.14106,4.36266e-05,0.000236026,0.216467,0.231544,0.233732
-588.639,1.14768,4.06457e-05,0.000224049,0.216262,0.23099,0.233703
-589.032,1.1476,4.04709e-05,0.000221347,0.21606,0.230675,0.23429
-588.218,1.1438,4.25569e-05,0.000236104,0.21548,0.230135,0.233952
-592.724,1.13901,4.32124e-05,0.000237217,0.215817,0.229983,0.233846
-588.779,1.14837,3.99625e-05,0.000220576,0.215999,0.229983,0.233516
-590.598,1.15009,3.90021e-05,0.000214151,0.216253,0.229386,0.233639
-588.654,1.14743,4.05045e-05,0.000222163,0.21628,0.229539,0.233094
-587.907,1.14526,4.17408e-05,0.000232335,0.215646,0.229321,0.232924
-589.83,1.14074,4.37173e-05,0.000238562,0.215824,0.229107,0.23283
-589.268,1.14576,4.19291e-05,0.000229831,0.215347,0.229404,0.232157
-587.94,1.14631,4.08112e-05,0.000225122,0.215092,0.229336,0.232214
-587.801,1.14532,4.16054e-05,0.000229839,0.215127,0.229769,0.231983
-589.264,1.14422,4.10011e-05,0.000224832,0.21502,0.2297,0.231544
-590.035,1.14695,4.15537e-05,0.000234884,0.214633,0.229632,0.231463
-589.218,1.14423,4.28261e-05,0.000238091,0.21467,0.229914,0.231942
-589.172,1.14504,4.11532e-05,0.000231798,0.214707,0.229498,0.232067
-588.168,1.14672,4.10465e-05,0.000226466,0.214744,0.229226,0.231846
-590.256,1.13981,4.40749e-05,0.000241568,0.21478,0.229025,0.231696
-589.848,1.14307,4.33903e-05,0.000238695,0.214747,0.228964,0.231549
-588.898,1.14386,4.18903e-05,0.000235498,0.214918,0.228633,0.231201
-588.645,1.14451,4.21675e-05,0.000236961,0.21522,0.22824,0.230991
-588.021,1.14615,4.07973e-05,0.00022716,0.215452,0.228185,0.231051
-589.176,1.14687,4.13934e-05,0.00022774,0.215151,0.228064,0.231111
-589.006,1.14282,4.1878e-05,0.000232212,0.215183,0.227946,0.231366
-589.832,1.14615,4.19956e-05,0.000236558,0.215345,0.228155,0.231488
-588.513,1.14313,4.19963e-05,0.000229815,0.21557,0.228297,0.231543
-590.947,1.15117,3.8714e-05,0.000215818,0.215341,0.228179,0.231533
-590.989,1.14608,3.98247e-05,0.00021742,0.21505,0.228191,0.231908
-591.839,1.15121,3.95162e-05,0.000222618,0.2147,0.227629,0.232087
-589.008,1.14804,3.9819e-05,0.000222615,0.21467,0.227327,0.232137
-590.363,1.14111,4.25464e-05,0.000231572,0.214955,0.227344,0.232124
-591.12,1.14222,4.25912e-05,0.000228472,0.214862,0.227298,0.231986
-588.753,1.14504,4.07839e-05,0.000224227,0.215266,0.227129,0.232097
-587.815,1.14519,4.16322e-05,0.000231738,0.215419,0.227085,0.232208
-588.99,1.14776,4.09557e-05,0.000228613,0.21557,0.227103,0.231888
-589.33,1.1476,4.10154e-05,0.000231004,0.215597,0.226815,0.231937
-589.273,1.14334,4.17143e-05,0.00022663,0.215866,0.226714,0.231804
-588.767,1.14661,4.13125e-05,0.000232363,0.216071,0.226854,0.231793
-588.449,1.14396,4.14414e-05,0.000227585,0.215616,0.227052,0.231723
-589.425,1.145,4.1868e-05,0.000237107,0.21594,0.227189,0.231772
-591.552,1.14041,4.25833e-05,0.000232051,0.216378,0.227324,0.231406
-588.118,1.14318,4.23587e-05,0.000235338,0.215928,0.227398,0.231398
-589.317,1.14406,4.28579e-05,0.000236035,0.216186,0.22718,0.231156
-589.712,1.14102,4.33713e-05,0.000236033,0.216092,0.227196,0.231266
-588.724,1.14202,4.31183e-05,0.000239615,0.215652,0.227386,0.231201
-590.859,1.1447,4.07941e-05,0.00023009,0.215505,0.227401,0.231653
-588.257,1.14268,4.24379e-05,0.000233679,0.215702,0.227244,0.23153
-589.391,1.14818,3.96813e-05,0.000222385,0.215329,0.227089,0.231237
-590.304,1.14066,4.42734e-05,0.000244917,0.21479,0.226936,0.231512
-590.465,1.14024,4.30937e-05,0.000235437,0.214595,0.226841,0.231616
-589.647,1.14462,4.20436e-05,0.00023832,0.214792,0.227082,0.231495
-587.899,1.1454,4.16675e-05,0.000231928,0.215099,0.227043,0.231765
-588.981,1.14712,4.03007e-05,0.000220045,0.215126,0.226728,0.231755
-588.214,1.14495,4.20088e-05,0.000234743,0.215043,0.226581,0.231965
-587.877,1.14393,4.21748e-05,0.000232683,0.214961,0.226436,0.231791
-590.593,1.15045,3.87701e-05,0.000216226,0.214554,0.225966,0.23189
-588.097,1.1449,4.11873e-05,0.00022882,0.214367,0.225826,0.231771
-589.243,1.14176,4.24579e-05,0.00023494,0.214128,0.225848,0.231547
-588.789,1.14653,4.14478e-05,0.000228092,0.21416,0.226031,0.231699
-587.977,1.14506,4.1254e-05,0.00022664,0.213925,0.225945,0.231371
-589.348,1.14507,4.06391e-05,0.000226117,0.213904,0.225861,0.231205
